"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Alex\Desktop\pelets\src\pages\cartPage\ShoppingCartPage.js", "JavaScript", 764, 0, 109, 873
"Total", "-", 764, 0, 109, 873
