"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\admin\Desktop\pelets\src\App.css", "CSS", 24, 0, 0, 1, 5, 30
"c:\Users\admin\Desktop\pelets\src\App.js", "JavaScript", 0, 67, 0, 0, 13, 80
"c:\Users\admin\Desktop\pelets\src\App.test.js", "JavaScript", 0, 7, 0, 0, 2, 9
"c:\Users\admin\Desktop\pelets\src\firebase-config.js", "JavaScript", 0, 12, 0, 0, 6, 18
"c:\Users\admin\Desktop\pelets\src\index.css", "CSS", 15, 0, 0, 0, 3, 18
"c:\Users\admin\Desktop\pelets\src\index.js", "JavaScript", 0, 12, 0, 3, 3, 18
"c:\Users\admin\Desktop\pelets\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\admin\Desktop\pelets\src\pages\adminPanel\AdminPanelComponent.css", "CSS", 151, 0, 0, 0, 27, 178
"c:\Users\admin\Desktop\pelets\src\pages\adminPanel\AdminPanelComponent.js", "JavaScript", 0, 291, 0, 0, 61, 352
"c:\Users\admin\Desktop\pelets\src\pages\adminPanel\AdminPanelFetch.js", "JavaScript", 0, 37, 0, 0, 5, 42
"c:\Users\admin\Desktop\pelets\src\pages\adminPanel\AdminPanelList.js", "JavaScript", 0, 19, 0, 0, 4, 23
"c:\Users\admin\Desktop\pelets\src\pages\auth\CanNavigate.js", "JavaScript", 0, 11, 0, 0, 4, 15
"c:\Users\admin\Desktop\pelets\src\pages\auth\Login.js", "JavaScript", 0, 171, 0, 1, 50, 222
"c:\Users\admin\Desktop\pelets\src\pages\auth\ProfilePage.css", "CSS", 145, 0, 0, 0, 28, 173
"c:\Users\admin\Desktop\pelets\src\pages\auth\ProfilePage.js", "JavaScript", 0, 291, 0, 3, 81, 375
"c:\Users\admin\Desktop\pelets\src\pages\auth\Register.css", "CSS", 49, 0, 0, 0, 6, 55
"c:\Users\admin\Desktop\pelets\src\pages\auth\Register.js", "JavaScript", 0, 162, 0, 1, 59, 222
"c:\Users\admin\Desktop\pelets\src\pages\auth\auth-context.js", "JavaScript", 0, 21, 0, 0, 6, 27
"c:\Users\admin\Desktop\pelets\src\pages\auth\loginCss.css", "CSS", 154, 0, 0, 0, 22, 176
"c:\Users\admin\Desktop\pelets\src\pages\cartPage\CartPage.js", "JavaScript", 0, 18, 0, 0, 3, 21
"c:\Users\admin\Desktop\pelets\src\pages\cartPage\ShoppingCart.css", "CSS", 29, 0, 0, 0, 4, 33
