"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Alex\Desktop\pelets\src\pages\cartPage\ShoppingCartPage.js", "JavaScript", 2249, 0, 311, 2560
"Total", "-", 2249, 0, 311, 2560
